"id","ACTIVITY","SUBACTIVITY","TASK","TITLE","ARCHETYPE","METHODS","KEYWORDS","SYNTAX","SOURCES","URL","ICON","LAST_UPDATE"
14,"4-wranglers","1-evaluate","1-profile","world-happiness-report","world-happiness-report","positive, negative, and zero values","happiness growth economics","str dim distinct map_df mutate","The-Economist","content/4-wranglers/1-evaluate/1-profile/world-happiness-report.html","assets/symbols/4-wranglers/1-profile.svg",2021-11-10
15,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_alpha","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
16,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_alphanumeric","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
17,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_currency","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
18,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_empty","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
19,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_hex_color","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
20,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_in_list","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
21,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_ISO31661_Alpha2","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
22,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_ISO31661_Alpha3","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
23,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_ISO8601","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
24,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_LatLong","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
25,"4-wranglers","1-evaluate","2-validate","ucs-satellites-db","ucs-satellites-db","is_length","UCS satellite orbit","grepl is.numeric is.decimal is.integer class as.Date nchar is.logical countrycode","UCS-Satellite-Database","content/4-wranglers/1-evaluate/2-validate/ucs-satellites-db.html","assets/symbols/4-wranglers/2-validate.svg",2021-11-10
26,"4-wranglers","1-evaluate","3-clean","panda-list","panda-list","remove_duplicates","panda zoo china","replace !is.na is.na unique","Giant-Panda-Global","content/4-wranglers/1-evaluate/3-clean/panda-list.html","assets/symbols/4-wranglers/3-clean.svg",2021-11-10
27,"4-wranglers","1-evaluate","3-clean","panda-list","panda-list","remove_missing","panda zoo china","replace !is.na is.na unique","Giant-Panda-Global","content/4-wranglers/1-evaluate/3-clean/panda-list.html","assets/symbols/4-wranglers/3-clean.svg",2021-11-10
28,"4-wranglers","1-evaluate","3-clean","panda-list","panda-list","remove_value","panda zoo china","replace !is.na is.na unique","Giant-Panda-Global","content/4-wranglers/1-evaluate/3-clean/panda-list.html","assets/symbols/4-wranglers/3-clean.svg",2021-11-10
29,"4-wranglers","1-evaluate","3-clean","panda-list","panda-list","replace_duplicates","panda zoo china","replace !is.na is.na unique","Giant-Panda-Global","content/4-wranglers/1-evaluate/3-clean/panda-list.html","assets/symbols/4-wranglers/3-clean.svg",2021-11-10
30,"4-wranglers","1-evaluate","3-clean","panda-list","panda-list","replace_missing","panda zoo china","replace !is.na is.na unique","Giant-Panda-Global","content/4-wranglers/1-evaluate/3-clean/panda-list.html","assets/symbols/4-wranglers/3-clean.svg",2021-11-10
31,"4-wranglers","1-evaluate","3-clean","panda-list","panda-list","replace_value","panda zoo china","replace !is.na is.na unique","Giant-Panda-Global","content/4-wranglers/1-evaluate/3-clean/panda-list.html","assets/symbols/4-wranglers/3-clean.svg",2021-11-10
32,"4-wranglers","1-evaluate","4-compare","global-education-expenditure","global-education-expenditure","difference","education expenditure global","subset","Financing-Education","content/4-wranglers/1-evaluate/4-compare/global-education-expenditure.html","assets/symbols/4-wranglers/4-compare.svg",2021-11-10
33,"4-wranglers","1-evaluate","4-compare","global-education-expenditure","global-education-expenditure","intersect","education expenditure global","subset","Financing-Education","content/4-wranglers/1-evaluate/4-compare/global-education-expenditure.html","assets/symbols/4-wranglers/4-compare.svg",2021-11-10
34,"4-wranglers","1-evaluate","5-impute","station-rio","station-rio","mean","rio rio-de-janeiro air-quality air","mice na.omit na.rm","Rio-Air-quality","content/4-wranglers/1-evaluate/5-impute/station-rio.html","assets/symbols/4-wranglers/5-impute.svg",2021-11-10
35,"4-wranglers","1-evaluate","5-impute","station-rio","station-rio","median","rio rio-de-janeiro air-quality air","mice na.omit na.rm","Rio-Air-quality","content/4-wranglers/1-evaluate/5-impute/station-rio.html","assets/symbols/4-wranglers/5-impute.svg",2021-11-10
36,"4-wranglers","1-evaluate","5-impute","station-rio","station-rio","mode","rio rio-de-janeiro air-quality air","mice na.omit na.rm","Rio-Air-quality","content/4-wranglers/1-evaluate/5-impute/station-rio.html","assets/symbols/4-wranglers/5-impute.svg",2021-11-10
37,"4-wranglers","2-prepare","1-column","un-member-state-admission-dates","un-member-state-admission-dates","constant_value","UN member-state United-Nations","rename sset_names tolower add_column select seperate unite","United-Nations","content/4-wranglers/2-prepare/1-column/un-member-state-admission-dates.html","assets/symbols/4-wranglers/1-column.svg",2021-11-10
38,"4-wranglers","2-prepare","1-column","un-member-state-admission-dates","un-member-state-admission-dates","flatten","UN member-state United-Nations","rename sset_names tolower add_column select seperate unite","United-Nations","content/4-wranglers/2-prepare/1-column/un-member-state-admission-dates.html","assets/symbols/4-wranglers/1-column.svg",2021-11-10
39,"4-wranglers","2-prepare","1-column","un-member-state-admission-dates","un-member-state-admission-dates","rename_all","UN member-state United-Nations","rename sset_names tolower add_column select seperate unite","United-Nations","content/4-wranglers/2-prepare/1-column/un-member-state-admission-dates.html","assets/symbols/4-wranglers/1-column.svg",2021-11-10
40,"4-wranglers","2-prepare","1-column","un-member-state-admission-dates","un-member-state-admission-dates","rename_multiple","UN member-state United-Nations","rename sset_names tolower add_column select seperate unite","United-Nations","content/4-wranglers/2-prepare/1-column/un-member-state-admission-dates.html","assets/symbols/4-wranglers/1-column.svg",2021-11-10
41,"4-wranglers","2-prepare","1-column","un-member-state-admission-dates","un-member-state-admission-dates","rename_one","UN member-state United-Nations","rename sset_names tolower add_column select seperate unite","United-Nations","content/4-wranglers/2-prepare/1-column/un-member-state-admission-dates.html","assets/symbols/4-wranglers/1-column.svg",2021-11-10
42,"4-wranglers","2-prepare","1-column","un-member-state-admission-dates","un-member-state-admission-dates","separate","UN member-state United-Nations","rename sset_names tolower add_column select seperate unite","United-Nations","content/4-wranglers/2-prepare/1-column/un-member-state-admission-dates.html","assets/symbols/4-wranglers/1-column.svg",2021-11-10
43,"4-wranglers","2-prepare","1-column","un-member-state-admission-dates","un-member-state-admission-dates","unite","UN member-state United-Nations","rename sset_names tolower add_column select seperate unite","United-Nations","content/4-wranglers/2-prepare/1-column/un-member-state-admission-dates.html","assets/symbols/4-wranglers/1-column.svg",2021-11-10
44,"4-wranglers","2-prepare","2-format-date","google-trend-on-data-science","google-trend-on-data-science","to_ISO8601","google data-science","as.Daate as.POSIXct quarters format mutate","Google","content/4-wranglers/2-prepare/2-format-date/google-trend-on-data-science.html","assets/symbols/4-wranglers/2-format-date.svg",2021-11-10
45,"4-wranglers","2-prepare","3-format-number","hourly-earnings-male-vs-female","hourly-earnings-male-vs-female","currency","earnings salary employee","format f2si","ILOSTAT","content/4-wranglers/2-prepare/3-format-number/hourly-earnings-male-vs-female.html","assets/symbols/4-wranglers/3-format-number.svg",2021-11-10
46,"4-wranglers","2-prepare","3-format-number","hourly-earnings-male-vs-female","hourly-earnings-male-vs-female","percentage","earnings salary employee","format f2si","ILOSTAT","content/4-wranglers/2-prepare/3-format-number/hourly-earnings-male-vs-female.html","assets/symbols/4-wranglers/3-format-number.svg",2021-11-10
47,"4-wranglers","2-prepare","3-format-number","hourly-earnings-male-vs-female","hourly-earnings-male-vs-female","round","earnings salary employee","format f2si","ILOSTAT","content/4-wranglers/2-prepare/3-format-number/hourly-earnings-male-vs-female.html","assets/symbols/4-wranglers/3-format-number.svg",2021-11-10
48,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","concatenate","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
49,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","upper_case_first","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
50,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","lowercase","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
51,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","prune","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
52,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","truncate_on_word","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
53,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","title_case","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
54,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","trim","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
55,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","uppercase","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
56,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","humanize","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
57,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","replace_char","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
58,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","remove char","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
59,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","spacify","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
60,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","remove_non_alpha_numeric","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
61,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","remove_non_numeric","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
62,"4-wranglers","2-prepare","4-format-string","netflix_titles","netflix_titles","normalize","Netflix TV movies","stri_trans_nfd str_detect str_sub str_replace_all str_split str_to_upper str_to_lower str_to_sentence str_to_title","FLIXABLE","content/4-wranglers/2-prepare/4-format-string/netflix_titles.html","assets/symbols/4-wranglers/4-format-string.svg",2021-11-10
63,"4-wranglers","2-prepare","5-normalize","electric-cars","electric-cars","iqr_transformation","Electric-cars cars","scale","Electric-Vehicle-Database","content/4-wranglers/2-prepare/5-normalize/electric-cars.html","assets/symbols/4-wranglers/5-normalize.svg",2021-11-10
64,"4-wranglers","2-prepare","5-normalize","electric-cars","electric-cars","proportion_transformation","Electric-cars cars","scale","Electric-Vehicle-Database","content/4-wranglers/2-prepare/5-normalize/electric-cars.html","assets/symbols/4-wranglers/5-normalize.svg",2021-11-10
65,"4-wranglers","2-prepare","5-normalize","electric-cars","electric-cars","range_transformation","Electric-cars cars","scale","Electric-Vehicle-Database","content/4-wranglers/2-prepare/5-normalize/electric-cars.html","assets/symbols/4-wranglers/5-normalize.svg",2021-11-10
66,"4-wranglers","2-prepare","5-normalize","electric-cars","electric-cars","z_transformation","Electric-cars cars","scale","Electric-Vehicle-Database","content/4-wranglers/2-prepare/5-normalize/electric-cars.html","assets/symbols/4-wranglers/5-normalize.svg",2021-11-10
67,"4-wranglers","2-prepare","6-parse-date","paris-air-quality","paris-air-quality",NA,"Paris Air-Quality","date month year","Kaggle","content/4-wranglers/2-prepare/6-parse-date/paris-air-quality.html","assets/symbols/4-wranglers/6-parse-date.svg",2021-11-10
68,"4-wranglers","2-prepare","7-parse-number","electric-cars-parse-number","electric-cars-parse-number",NA,"Electric-Car cars","parse_number","Electric-Vehicle-Database","content/4-wranglers/2-prepare/7-parse-number/electric-cars-parse-number.html","assets/symbols/4-wranglers/7-parse-number.svg",2021-11-10
69,"4-wranglers","2-prepare","8-parse-string","nyc-public-schools","nyc-public-schools",NA,"NYC public-school","gsub","Kaggle","content/4-wranglers/2-prepare/8-parse-string/nyc-public-schools.html","assets/symbols/4-wranglers/8-parse-string.svg",2021-11-10
70,"4-wranglers","2-prepare","9-replace","milk-environmental-impacts","milk-environmental-impacts",NA,"milk vegan climate-change","gsub","BBC","content/4-wranglers/2-prepare/9-replace/milk-environmental-impacts.html","assets/symbols/4-wranglers/9-replace.svg",2021-11-10
71,"4-wranglers","3-reduce","1-filter-by-string","global-access-to-water-and-sanitation","global-access-to-water-and-sanitation",NA,"water global sanitation","filter","Unicef","content/4-wranglers/3-reduce/1-filter-by-string/global-access-to-water-and-sanitation.html","assets/symbols/4-wranglers/1-filter-by-string.svg",2021-11-10
72,"4-wranglers","3-reduce","2-filter-by-number","global-access-to-water-and-sanitation","global-access-to-water-and-sanitation",NA,"water global sanitation","filter","Unicef","content/4-wranglers/3-reduce/2-filter-by-number/global-access-to-water-and-sanitation.html","assets/symbols/4-wranglers/2-filter-by-number.svg",2021-11-10
73,"4-wranglers","3-reduce","3-filter-by-date","global-access-to-water-and-sanitation","global-access-to-water-and-sanitation","before","water global sanitation","filter","Unicef","content/4-wranglers/3-reduce/3-filter-by-date/global-access-to-water-and-sanitation.html","assets/symbols/4-wranglers/3-filter-by-date.svg",2021-11-10
74,"4-wranglers","3-reduce","3-filter-by-date","global-access-to-water-and-sanitation","global-access-to-water-and-sanitation","after","water global sanitation","filter","Unicef","content/4-wranglers/3-reduce/3-filter-by-date/global-access-to-water-and-sanitation.html","assets/symbols/4-wranglers/3-filter-by-date.svg",2021-11-10
75,"4-wranglers","3-reduce","3-filter-by-date","global-access-to-water-and-sanitation","global-access-to-water-and-sanitation","between","water global sanitation","filter","Unicef","content/4-wranglers/3-reduce/3-filter-by-date/global-access-to-water-and-sanitation.html","assets/symbols/4-wranglers/3-filter-by-date.svg",2021-11-10
76,"4-wranglers","3-reduce","4-find-by-string","times-higher-education-world-university-ranking","times-higher-education-world-university-ranking","string_pattern","education expensive university","filter str_detect","Our World in Data","content/4-wranglers/3-reduce/4-find-by-string/times-higher-education-world-university-ranking.html","assets/symbols/4-wranglers/4-find-by-string.svg",2021-11-10
77,"4-wranglers","3-reduce","4-find-by-string","times-higher-education-world-university-ranking","times-higher-education-world-university-ranking","string_fuzzy","education expensive university","filter str_detect","Our World in Data","content/4-wranglers/3-reduce/4-find-by-string/times-higher-education-world-university-ranking.html","assets/symbols/4-wranglers/4-find-by-string.svg",2021-11-10
78,"4-wranglers","4-extend","1-enrich","life-expectancy-at-birth","life-expectancy-at-birth","concatenate","life-expectancy population","inner_join left_join right_join full_join anti_join bind_rows","Gapminder","content/4-wranglers/4-extend/1-enrich/life-expectancy-at-birth.html","assets/symbols/4-wranglers/1-enrich.svg",2021-11-10
79,"4-wranglers","4-extend","1-enrich","life-expectancy-at-birth","life-expectancy-at-birth","join","life-expectancy population","inner_join left_join right_join full_join anti_join bind_rows","Gapminder","content/4-wranglers/4-extend/1-enrich/life-expectancy-at-birth.html","assets/symbols/4-wranglers/1-enrich.svg",2021-11-10
80,"4-wranglers","4-extend","2-group","missing-migrants","missing-migrants","group_by_columns","migrants missing","group_by summarise pivot_wider pivot_longer","Missing Migrants Project","content/4-wranglers/4-extend/2-group/missing-migrants.html","assets/symbols/4-wranglers/2-group.svg",2021-11-10
81,"4-wranglers","4-extend","2-group","missing-migrants","missing-migrants","pivot","migrants missing","group_by summarise pivot_wider pivot_longer","Missing Migrants Project","content/4-wranglers/4-extend/2-group/missing-migrants.html","assets/symbols/4-wranglers/2-group.svg",2021-11-10
82,"4-wranglers","4-extend","2-group","missing-migrants","missing-migrants","unpivot","migrants missing","group_by summarise pivot_wider pivot_longer","Missing Migrants Project","content/4-wranglers/4-extend/2-group/missing-migrants.html","assets/symbols/4-wranglers/2-group.svg",2021-11-10
83,"4-wranglers","5-arrange","1-sort","diamonds","diamonds","from_list","diamonds","arrange","Wikipedia","content/4-wranglers/5-arrange/1-sort/diamonds.html","assets/symbols/4-wranglers/1-sort.svg",2021-11-10
84,"4-wranglers","5-arrange","1-sort","diamonds","diamonds","by_column(s)","diamonds","arrange","Wikipedia","content/4-wranglers/5-arrange/1-sort/diamonds.html","assets/symbols/4-wranglers/1-sort.svg",2021-11-10
85,"4-wranglers","6-structure","1-transform","money-laundering","money-laundering","wide-to-long","money-laundering","gather seperate spread","UNODC","content/4-wranglers/6-structure/1-transform/money-laundering.html","assets/symbols/4-wranglers/1-transform.svg",2021-11-10
86,"4-wranglers","6-structure","1-transform","prison-population","prison-population","long-to-wide","prison","pivot_wider spread decast","UNODC","content/4-wranglers/6-structure/1-transform/prison-population.html","assets/symbols/4-wranglers/1-transform.svg",2021-11-10
87,"4-wranglers","9-preserve","1-data-file","bridges_to_prosperity","bridges_to_prosperity","csv","Prosperity Bridge growth","write.csv ggsave","Bridges-to-Prosperity","content/4-wranglers/9-preserve/1-data-file/bridges_to_prosperity.html","assets/symbols/4-wranglers/1-data-file.svg",2021-11-10
88,"4-wranglers","9-preserve","3-image-file","world-cup-matches","world-cup-matches","svg","football world-cup","write.csv ggsave","Kaggle","content/4-wranglers/9-preserve/3-image-file/world-cup-matches.html","assets/symbols/4-wranglers/3-image-file.svg",2021-11-10
89,"6-views","1-design","1-workflow","design-process","design-process","process","visual design","NA","NA","content/6-views/1-design/1-workflow/design-process.html","assets/symbols/6-views/1-workflow.svg",2021-11-10
90,"6-views","2-perception","1-feature-recognition","feature-recognition","feature-recognition",NA,"pop-out","NA","NA","content/6-views/2-perception/1-feature-recognition/feature-recognition.html","assets/symbols/6-views/1-feature-recognition.svg",2021-11-10
91,"6-views","2-perception","2-pattern-recognition","pattern-recognition","pattern-recognition",NA,"gestalt","NA","NA","content/6-views/2-perception/2-pattern-recognition/pattern-recognition.html","assets/symbols/6-views/2-pattern-recognition.svg",2021-11-10
92,"6-views","3-acuity","1-guiding-principles","guiding-principles","guiding-principles",NA,"chart junk","NA","NA","content/6-views/3-acuity/1-guiding-principles/guiding-principles.html","assets/symbols/6-views/1-guiding-principles.svg",2021-11-10
93,"6-views","4-form","1-grammar-of-graphics","visual-variables","visual-variables","visual-variables","visual mapping position shape color size","NA","NA","content/6-views/4-form/1-grammar-of-graphics/visual-variables.html","assets/symbols/6-views/1-grammar-of-graphics.svg",2021-11-10
94,"7-charts","1-correlation","1-bubble","gapminder","gapminder","bubble","lifespan life expectancy income gdp per capita","ggplot geom_point geom_text_repel scale_size scale_x_log10 scale_y_continuous","Gapminder","content/7-charts/1-correlation/1-bubble/gapminder.html","assets/symbols/7-charts/1-bubble.svg",2021-11-10
95,"7-charts","1-correlation","1-bubble","transit-costs","transit-costs","bubble","transit costs","geom_point_interactive geom_smooth scale_y_log10","TidyTuesday Transit Costs Project","content/7-charts/1-correlation/1-bubble/transit-costs.html","assets/symbols/7-charts/1-bubble.svg",2021-11-10
96,"7-charts","1-correlation","2-bubble-facet","access-to water-and-sanitation","access-to water-and-sanitation","bubble-facet","water sanitation","facet_wrap geom_point_interactive","UNICEF","content/7-charts/1-correlation/2-bubble-facet/access-to water-and-sanitation.html","assets/symbols/7-charts/2-bubble-facet.svg",2021-11-10
